amount,velocity,device_change,location_change,transaction_frequency,merchant_category,fraud
11868.36,2,0,0,6,FOOD,0
3065.83,2,0,0,2,ELECTRONICS,0
52392.11,1,0,0,2,GAMING,0
22383.68,1,1,0,5,TRAVEL,1
42076.42,3,0,0,4,SHOPPING,0
33782.28,4,0,0,5,FOOD,1
13665.82,6,0,1,4,OTHER,1
38241.53,4,0,0,7,GAMING,0
1389.83,2,1,0,2,SHOPPING,1
3272.02,2,0,0,4,ELECTRONICS,0
694.23,6,0,0,2,FOOD,0
5902.98,3,0,0,6,GROCERY,0
7381.95,3,0,0,10,FOOD,0
4748.41,2,0,0,2,GROCERY,0
26468.37,1,1,0,3,SHOPPING,0
6618.4,2,0,0,7,TRAVEL,0
4947.04,2,1,0,1,SHOPPING,0
11736.11,2,0,0,11,SHOPPING,0
2278.47,4,1,0,4,GROCERY,0
24307.25,1,0,1,4,GAMING,0
1162.14,2,1,0,6,GROCERY,0
65012.2,3,0,0,4,TRAVEL,0
22192.26,6,1,0,3,SHOPPING,1
3323.09,3,0,0,5,GROCERY,0
100.0,2,0,1,5,SHOPPING,0
25348.45,3,0,0,7,GAMING,0
18406.44,2,1,0,5,SHOPPING,0
19584.94,3,0,0,5,SHOPPING,0
22128.22,2,0,0,6,GROCERY,0
1153.94,1,0,0,2,TRAVEL,0
6658.39,3,0,0,5,GAMING,0
1847.25,4,0,0,5,TRAVEL,0
29827.94,2,0,0,5,GROCERY,0
14644.52,2,0,0,5,ELECTRONICS,0
6027.28,1,0,0,5,GROCERY,0
985.02,1,1,0,3,CRYPTO,1
5587.33,1,1,0,3,OTHER,1
5899.71,1,0,0,4,TRAVEL,0
19618.14,2,0,0,1,OTHER,0
15223.34,2,0,0,6,GROCERY,0
32733.78,1,0,0,1,FOOD,0
9585.99,4,0,0,1,FOOD,0
1910.59,4,0,0,3,GAMING,0
18736.9,4,0,0,4,SHOPPING,0
21455.89,2,0,0,2,FOOD,0
12358.31,1,0,0,3,GROCERY,0
22108.35,2,0,0,4,GAMING,0
10212.22,1,0,0,5,GROCERY,0
11095.18,1,0,0,4,FOOD,0
8367.21,2,0,0,4,FOOD,0
386.22,1,0,0,5,GROCERY,0
1712.51,5,0,0,6,GROCERY,0
479.01,2,0,0,4,SHOPPING,0
15175.94,3,0,0,2,SHOPPING,0
5660.95,2,0,0,5,SHOPPING,0
10656.56,4,0,0,5,ELECTRONICS,0
35718.98,1,0,0,3,OTHER,0
4301.08,4,0,0,3,GROCERY,0
7924.23,5,0,0,3,GROCERY,0
21131.24,2,0,0,2,FOOD,0
3897.08,3,0,0,3,SHOPPING,0
1201.56,4,0,0,5,GROCERY,0
5132.1,2,1,0,5,ELECTRONICS,0
2637.13,1,0,1,1,TRAVEL,0
39824.25,4,0,0,4,ELECTRONICS,0
24763.31,2,0,1,1,SHOPPING,0
15052.41,4,0,0,5,SHOPPING,0
30772.8,3,0,0,6,GAMING,0
24419.53,3,0,0,4,FOOD,0
3097.43,4,1,0,1,SHOPPING,0
33462.2,3,0,0,5,GROCERY,0
11626.5,1,0,0,4,TRAVEL,0
24710.22,2,0,0,2,CRYPTO,0
33963.64,2,0,0,4,GROCERY,0
5740.96,3,1,0,2,TRAVEL,1
1748.88,4,0,0,5,CRYPTO,0
3880.3,1,0,1,5,SHOPPING,1
8355.87,1,1,0,4,FOOD,0
25557.45,3,0,0,5,OTHER,0
29570.17,1,0,0,2,GROCERY,1
104.65,3,1,0,10,FOOD,0
10723.14,1,0,0,3,OTHER,0
8104.1,1,0,0,1,FOOD,0
3767.51,2,0,0,7,GAMING,1
1915.21,1,1,0,3,FOOD,0
6178.63,2,1,0,1,GAMING,0
42946.82,1,0,0,7,ELECTRONICS,0
5855.76,4,1,0,4,SHOPPING,0
10971.79,1,0,0,2,SHOPPING,0
18211.3,2,0,0,4,GROCERY,0
6779.62,5,0,0,5,GROCERY,0
53516.97,1,0,0,4,ELECTRONICS,0
49230.15,1,0,0,4,CRYPTO,0
4350.92,3,0,0,1,ELECTRONICS,0
10314.89,2,0,0,3,OTHER,0
5368.96,4,1,0,4,OTHER,0
5028.75,3,0,0,3,GAMING,0
563.77,3,1,0,4,OTHER,0
14107.38,4,1,0,1,GROCERY,0
10477.79,1,0,0,5,ELECTRONICS,1
792.77,2,0,0,3,GAMING,0
4899.39,2,0,0,7,GROCERY,0
35832.91,2,0,0,3,OTHER,0
4107.91,3,0,0,3,GROCERY,0
2347.96,3,0,0,6,SHOPPING,0
10084.08,5,0,0,4,GROCERY,0
63660.55,1,0,1,2,SHOPPING,1
4157.17,1,0,0,3,SHOPPING,0
16727.33,2,0,0,7,TRAVEL,0
21508.31,2,0,0,1,GAMING,0
4070.0,1,1,0,6,GAMING,0
19541.23,2,0,0,7,ELECTRONICS,0
6877.84,1,1,0,6,GROCERY,0
15007.56,4,0,0,5,SHOPPING,0
15057.57,1,0,1,8,GAMING,1
11510.78,1,0,0,3,ELECTRONICS,0
1419.44,3,0,0,2,ELECTRONICS,0
27054.67,2,0,0,3,FOOD,0
5802.15,3,1,0,3,FOOD,1
3096.48,2,0,0,3,OTHER,0
624.45,1,0,0,3,CRYPTO,0
13406.68,5,0,0,5,GROCERY,0
16977.78,3,0,0,1,SHOPPING,0
250.9,4,0,0,4,SHOPPING,0
10764.46,4,0,0,2,SHOPPING,0
3852.36,4,0,0,3,SHOPPING,0
15541.87,1,0,0,4,TRAVEL,0
2874.06,3,1,0,8,OTHER,0
17613.19,4,0,0,2,CRYPTO,0
7334.38,2,0,0,4,CRYPTO,0
41405.16,5,0,0,4,ELECTRONICS,0
2219.17,3,0,0,6,GROCERY,0
6256.99,4,0,0,5,SHOPPING,0
1806.66,2,0,0,2,SHOPPING,0
38792.86,1,0,0,4,CRYPTO,0
31475.01,3,0,0,5,OTHER,0
4474.91,1,0,0,2,SHOPPING,0
16181.44,2,0,0,4,FOOD,0
25492.26,1,0,0,7,FOOD,0
12151.99,2,0,0,3,TRAVEL,0
11314.19,1,0,0,2,FOOD,0
4153.16,3,0,0,5,OTHER,0
1465.89,2,1,0,3,SHOPPING,0
34126.85,5,0,0,4,OTHER,0
34601.62,1,0,0,3,GROCERY,0
15040.05,2,0,0,3,GROCERY,0
6210.7,3,0,0,8,SHOPPING,0
6443.51,6,0,0,4,CRYPTO,0
19416.98,4,1,0,4,SHOPPING,0
34111.46,1,0,0,5,CRYPTO,0
32716.99,2,0,0,2,SHOPPING,0
22703.43,1,0,0,3,CRYPTO,0
15409.66,3,0,0,2,FOOD,0
1318.38,3,0,0,1,SHOPPING,0
2644.41,2,0,0,5,FOOD,0
34323.46,4,0,0,3,FOOD,0
13987.41,3,0,1,5,SHOPPING,0
138.59,2,0,0,4,FOOD,1
1604.95,3,0,0,6,GAMING,0
16337.44,4,0,0,7,ELECTRONICS,0
100.0,3,0,0,4,SHOPPING,0
2629.74,1,0,0,5,OTHER,0
11935.47,1,0,0,1,OTHER,0
17659.73,2,1,0,2,OTHER,0
15831.62,2,1,1,4,TRAVEL,0
3809.25,1,0,0,9,SHOPPING,0
18681.26,5,0,0,3,FOOD,0
4062.36,3,1,0,4,GROCERY,0
5904.52,5,0,0,7,TRAVEL,0
20585.36,5,0,0,3,TRAVEL,0
15731.61,2,0,0,5,TRAVEL,0
28379.34,4,0,0,1,TRAVEL,0
16077.2,4,0,0,2,GROCERY,0
12600.66,3,0,0,1,ELECTRONICS,0
1475.36,4,0,0,5,SHOPPING,0
6876.24,1,0,0,2,SHOPPING,0
4622.4,2,0,0,6,SHOPPING,1
4195.5,3,0,1,3,GROCERY,0
54184.64,1,0,1,5,CRYPTO,1
7490.81,1,0,0,4,GROCERY,0
33390.83,4,0,0,2,TRAVEL,0
14960.02,4,0,0,3,OTHER,0
23757.38,4,0,0,3,FOOD,0
10476.53,1,0,0,1,SHOPPING,0
12902.34,3,0,0,5,SHOPPING,0
10174.4,4,0,0,2,GROCERY,0
3258.22,3,0,0,5,SHOPPING,0
19226.43,1,0,0,3,SHOPPING,0
4943.66,1,0,0,4,GROCERY,0
369.25,6,0,0,3,SHOPPING,0
15554.53,2,0,0,5,GROCERY,0
2924.0,4,0,0,6,OTHER,0
42316.25,4,0,1,7,ELECTRONICS,0
46163.44,3,0,0,4,GROCERY,0
36952.65,1,0,0,3,GAMING,0
6934.31,2,0,0,1,SHOPPING,0
233.66,3,0,1,1,FOOD,1
39532.85,5,0,0,3,FOOD,0
8384.07,1,0,0,4,TRAVEL,0
51012.63,1,0,1,6,GROCERY,1
49706.03,3,0,0,2,GROCERY,0
28760.81,4,0,0,4,TRAVEL,0
5231.64,3,1,0,4,OTHER,0
7294.38,3,0,0,4,SHOPPING,0
28570.9,4,0,0,5,SHOPPING,0
5717.19,4,0,1,3,OTHER,0
2785.78,5,1,0,1,FOOD,0
12206.05,2,1,0,4,FOOD,0
41269.4,2,0,0,6,OTHER,0
17862.38,4,0,0,4,TRAVEL,0
12661.69,1,0,0,10,GROCERY,0
1533.42,3,0,0,2,ELECTRONICS,0
14317.96,1,0,0,6,GAMING,0
69158.55,4,0,0,9,FOOD,0
2263.81,4,0,0,3,SHOPPING,0
10957.43,3,0,0,7,GROCERY,0
31479.13,5,0,0,3,TRAVEL,0
20250.51,2,0,0,3,ELECTRONICS,0
17911.12,3,0,0,5,GROCERY,0
18184.31,1,0,0,3,ELECTRONICS,0
6682.39,2,0,0,5,ELECTRONICS,1
5213.43,4,0,0,3,GROCERY,0
24860.62,3,0,1,1,TRAVEL,1
24919.92,2,0,0,4,TRAVEL,0
30269.25,2,0,0,5,SHOPPING,0
36669.24,5,1,0,5,OTHER,0
10741.4,3,1,1,9,FOOD,1
10442.77,6,0,0,6,GROCERY,0
24014.25,1,0,0,2,ELECTRONICS,0
15745.79,1,0,0,3,TRAVEL,0
18158.26,2,1,0,7,OTHER,1
23829.29,1,0,0,3,FOOD,0
33109.85,1,0,1,5,SHOPPING,0
6187.24,4,0,0,1,SHOPPING,0
7064.05,3,0,0,2,CRYPTO,0
1480.44,4,0,0,2,SHOPPING,0
12951.21,3,0,0,8,GAMING,0
549.06,2,0,0,8,GROCERY,0
9399.1,1,0,0,5,SHOPPING,0
11734.42,5,1,0,4,GROCERY,0
5064.46,2,1,0,6,OTHER,0
13404.49,2,0,0,3,GROCERY,0
464.63,3,0,0,7,SHOPPING,0
570.95,1,0,0,3,GROCERY,0
25940.27,2,1,0,8,OTHER,0
6698.78,1,0,0,6,TRAVEL,0
2038.34,2,0,0,5,OTHER,0
11079.8,4,0,1,4,GROCERY,0
22044.72,2,0,0,4,GROCERY,0
3646.77,1,0,0,4,SHOPPING,0
14628.29,2,0,0,3,TRAVEL,0
1338.17,6,0,1,4,FOOD,1
795.98,4,0,0,1,ELECTRONICS,0
11368.63,3,0,0,2,GROCERY,0
11668.66,3,0,0,2,TRAVEL,0
15218.06,1,1,0,7,SHOPPING,1
19424.41,2,1,0,4,SHOPPING,0
55853.36,1,0,0,5,TRAVEL,0
10894.37,1,1,0,3,GROCERY,0
5850.3,3,0,1,3,OTHER,0
23784.81,3,0,0,4,GAMING,0
4737.77,3,0,0,2,SHOPPING,0
8669.75,1,0,0,7,SHOPPING,0
1225.58,3,0,0,4,GROCERY,0
385.16,2,0,0,4,SHOPPING,0
49310.7,3,0,0,4,SHOPPING,0
27116.51,3,0,0,5,SHOPPING,0
17859.64,2,0,0,1,GAMING,0
7887.89,3,1,1,5,GROCERY,1
2854.6,4,0,0,5,GROCERY,0
2551.81,3,0,0,5,SHOPPING,0
4320.09,1,0,0,5,ELECTRONICS,0
11951.86,5,0,0,4,GROCERY,0
18807.74,2,0,0,4,SHOPPING,0
16190.86,1,0,0,6,FOOD,1
4926.18,1,0,0,2,GAMING,0
46471.55,1,0,0,4,SHOPPING,0
20085.26,4,0,0,1,CRYPTO,0
12123.46,2,0,0,2,SHOPPING,0
14190.46,2,0,0,3,GAMING,1
8160.57,4,0,0,1,ELECTRONICS,0
4269.92,1,0,0,3,GAMING,0
6600.21,1,0,0,4,GAMING,0
21272.73,2,0,0,4,SHOPPING,0
217.47,2,1,0,3,SHOPPING,0
1850.71,2,0,0,7,GAMING,0
706.42,3,0,0,4,SHOPPING,0
623.72,1,0,0,5,GROCERY,0
29013.05,1,0,0,3,CRYPTO,0
18243.61,4,0,0,4,SHOPPING,0
9641.77,1,0,0,3,GROCERY,0
1544.35,2,0,0,8,TRAVEL,0
10147.77,1,0,1,2,OTHER,0
9621.75,3,0,0,6,CRYPTO,1
2852.92,2,0,0,5,TRAVEL,0
8533.49,3,0,0,5,GROCERY,0
7625.05,2,0,1,1,ELECTRONICS,0
14350.84,1,0,0,6,TRAVEL,0
15121.72,4,1,0,3,FOOD,1
695.43,3,0,1,2,OTHER,1
7040.76,1,0,0,5,GROCERY,0
14746.87,1,0,0,1,SHOPPING,1
10491.59,4,0,1,1,GROCERY,0
29120.24,2,0,0,3,OTHER,0
16124.62,3,0,0,4,GROCERY,0
2667.79,1,1,0,3,SHOPPING,0
1097.74,3,0,0,3,CRYPTO,0
15425.91,3,0,0,4,FOOD,0
403.04,7,0,0,1,GROCERY,0
13220.21,4,0,0,2,GROCERY,0
42258.83,2,0,0,3,SHOPPING,0
12851.74,1,0,0,3,SHOPPING,0
7369.51,1,0,0,4,ELECTRONICS,0
15462.41,4,0,0,4,FOOD,0
9194.34,1,0,0,5,ELECTRONICS,0
11832.22,4,0,0,1,OTHER,0
42571.91,2,0,0,6,CRYPTO,0
7318.91,3,0,0,2,TRAVEL,0
48736.38,3,0,0,7,OTHER,0
35363.64,2,0,0,4,OTHER,0
3268.44,4,1,0,2,TRAVEL,0
1078.26,5,0,0,3,FOOD,0
1593.38,5,0,0,7,OTHER,0
275.85,1,0,0,5,CRYPTO,0
1488.08,3,0,0,2,GROCERY,0
17233.12,3,0,0,3,OTHER,0
1107.74,3,0,0,5,SHOPPING,0
5762.36,3,0,0,3,FOOD,0
27952.89,4,0,0,1,FOOD,0
353.21,3,0,0,6,FOOD,0
25267.96,1,1,1,8,SHOPPING,1
4966.25,2,0,0,6,TRAVEL,0
1886.25,1,1,0,2,SHOPPING,0
17897.33,1,1,0,5,SHOPPING,0
14870.99,3,0,0,5,ELECTRONICS,0
31491.24,2,0,0,2,GROCERY,0
19924.4,2,0,1,4,OTHER,1
24404.94,4,0,1,3,ELECTRONICS,0
4970.01,4,0,0,4,ELECTRONICS,0
2930.0,1,0,0,1,SHOPPING,0
20831.35,6,0,0,4,OTHER,0
24663.14,1,0,1,8,GROCERY,1
69855.07,2,0,0,6,GROCERY,0
7981.19,3,0,0,6,GAMING,0
6978.66,5,0,1,4,ELECTRONICS,0
22469.32,1,0,0,1,FOOD,0
6251.01,6,0,0,3,TRAVEL,0
40052.07,2,0,1,6,SHOPPING,0
29322.59,3,0,0,5,SHOPPING,0
8405.33,1,0,0,3,TRAVEL,0
20846.77,4,0,0,8,OTHER,0
21069.49,4,0,0,6,OTHER,0
1632.56,2,0,1,3,OTHER,0
34926.69,3,0,1,3,SHOPPING,0
10555.61,1,0,0,7,FOOD,0
26269.99,3,0,0,8,TRAVEL,0
5786.03,4,0,0,2,TRAVEL,0
33881.86,2,0,0,3,FOOD,0
7394.83,2,0,0,6,TRAVEL,0
163.45,5,0,0,2,TRAVEL,0
35368.61,5,0,0,5,OTHER,0
1435.88,1,0,0,2,FOOD,0
5769.8,1,1,1,5,ELECTRONICS,1
44954.59,1,1,0,1,SHOPPING,0
45119.24,4,0,0,2,GROCERY,0
12779.96,4,0,0,3,FOOD,0
14988.45,3,0,0,1,GROCERY,0
8925.22,1,0,0,2,FOOD,0
5205.34,2,0,0,3,GROCERY,0
5977.3,3,0,0,3,OTHER,0
16744.85,1,0,0,3,GROCERY,0
20937.57,9,0,0,2,GAMING,1
23522.93,1,1,0,5,OTHER,0
23382.47,3,0,0,1,SHOPPING,0
1434.55,3,0,0,4,GROCERY,0
10230.74,3,0,0,5,TRAVEL,0
889.23,3,0,0,3,FOOD,0
11961.92,1,0,0,6,GROCERY,0
8738.33,2,0,0,3,TRAVEL,1
32799.28,1,1,0,6,SHOPPING,1
6482.87,1,0,0,4,ELECTRONICS,0
1867.59,1,0,0,7,TRAVEL,0
2314.61,4,0,0,2,GAMING,0
21501.46,4,0,0,2,GROCERY,0
14443.59,4,0,0,3,FOOD,0
1599.13,2,0,0,3,TRAVEL,0
1317.83,1,0,0,5,OTHER,0
18108.13,1,0,0,2,GAMING,0
1133.19,6,0,0,3,ELECTRONICS,0
25877.79,1,0,0,2,TRAVEL,0
18375.0,3,0,0,2,TRAVEL,0
1272.73,4,1,0,1,FOOD,0
1329.81,1,0,0,3,TRAVEL,0
64731.88,2,0,0,6,SHOPPING,0
7032.56,2,0,0,4,SHOPPING,0
6945.83,1,0,1,7,OTHER,0
25133.63,3,0,0,3,GAMING,0
44132.47,3,0,0,9,GROCERY,1
64031.61,2,0,0,4,OTHER,0
20998.49,3,0,0,5,FOOD,0
7080.31,2,0,0,5,FOOD,0
1307.91,1,0,0,3,OTHER,0
22518.64,1,0,1,7,SHOPPING,1
12260.41,3,0,0,3,GAMING,0
8280.5,4,0,0,3,FOOD,0
35523.57,3,1,0,5,CRYPTO,0
1768.2,2,0,0,2,CRYPTO,0
10177.58,3,0,0,9,SHOPPING,0
171.28,1,0,0,5,ELECTRONICS,0
9485.32,3,0,0,9,OTHER,0
869.26,4,0,1,3,SHOPPING,0
1897.36,1,0,0,7,SHOPPING,0
1875.39,4,0,0,5,ELECTRONICS,0
15713.53,1,0,0,5,SHOPPING,0
20558.97,1,0,0,8,OTHER,0
13133.31,1,0,0,6,GROCERY,0
49120.8,2,1,0,4,SHOPPING,1
7046.95,4,0,0,5,ELECTRONICS,0
5047.04,5,0,0,3,SHOPPING,0
30442.54,3,0,0,11,FOOD,1
3796.23,2,0,0,7,SHOPPING,0
49543.05,5,0,0,3,OTHER,0
183.43,5,0,0,3,SHOPPING,0
52537.9,2,0,0,4,FOOD,1
661.78,2,0,0,6,ELECTRONICS,0
33265.82,1,0,0,2,TRAVEL,0
11252.15,2,0,0,7,TRAVEL,0
74352.43,4,0,0,4,SHOPPING,0
1149.92,2,0,0,5,GROCERY,0
12106.64,2,0,0,3,TRAVEL,0
52253.63,1,0,0,4,SHOPPING,0
11106.66,2,0,0,3,SHOPPING,0
14889.42,2,0,0,2,FOOD,0
17848.52,3,0,0,6,FOOD,0
9091.92,1,0,0,2,GAMING,0
14815.11,2,1,0,5,SHOPPING,0
13167.39,1,1,1,2,GROCERY,0
34713.49,4,1,0,6,GROCERY,0
697.67,4,0,0,6,FOOD,0
4947.64,3,0,0,3,SHOPPING,0
45059.94,6,0,1,2,TRAVEL,1
33145.14,4,0,0,5,GROCERY,0
9122.63,1,0,0,6,SHOPPING,0
14519.0,1,0,0,6,GROCERY,0
4873.1,1,0,0,2,GROCERY,0
3126.06,3,0,0,7,CRYPTO,0
9345.88,1,0,0,2,ELECTRONICS,0
6539.3,3,0,0,2,GAMING,0
13143.66,2,0,0,3,GROCERY,0
1213.83,2,0,0,4,FOOD,0
54974.4,2,0,0,5,SHOPPING,0
64257.98,1,0,0,6,ELECTRONICS,0
17967.96,4,1,0,1,SHOPPING,0
11521.18,3,0,0,1,TRAVEL,0
5555.69,1,0,0,3,GROCERY,0
25213.61,1,0,0,4,SHOPPING,0
17314.94,4,0,1,8,GAMING,1
2662.1,1,1,0,8,SHOPPING,1
36274.52,1,0,0,2,GROCERY,0
25934.92,5,0,0,2,SHOPPING,0
44876.08,2,0,0,6,GAMING,0
19404.06,1,0,0,5,GROCERY,0
14256.06,4,1,0,5,TRAVEL,0
8125.54,3,0,0,2,OTHER,0
40485.28,7,0,0,7,SHOPPING,0
30155.89,2,0,0,1,GROCERY,0
694.09,3,1,0,4,TRAVEL,0
400.81,1,1,0,2,GROCERY,0
7085.22,1,0,0,7,GROCERY,0
24954.72,4,0,1,9,GROCERY,1
65464.13,2,0,0,2,GROCERY,0
2445.14,1,1,0,3,CRYPTO,0
13525.86,1,0,1,5,ELECTRONICS,0
7192.11,2,0,0,4,FOOD,0
52555.63,4,0,0,1,OTHER,0
27688.7,5,0,0,1,ELECTRONICS,0
27332.85,2,0,0,2,SHOPPING,0
9486.23,2,0,0,2,GROCERY,0
8037.52,3,1,0,5,ELECTRONICS,0
4790.83,4,0,0,6,SHOPPING,0
870.4,1,0,0,2,FOOD,0
30006.39,2,0,0,3,FOOD,0
25141.76,2,0,0,6,GROCERY,0
122586.68,4,1,0,1,ELECTRONICS,0
85423.1,2,0,0,2,GROCERY,0
12159.77,2,0,0,6,SHOPPING,0
21979.25,2,0,0,5,GROCERY,0
43442.58,2,0,0,5,TRAVEL,0
28421.58,3,1,0,1,SHOPPING,0
4262.29,1,0,0,4,TRAVEL,0
8982.4,3,1,1,1,GROCERY,1
2074.45,2,0,0,1,FOOD,0
46203.36,2,0,0,4,GROCERY,0
13977.72,4,0,0,4,TRAVEL,0
3894.06,1,0,0,1,GROCERY,0
16707.44,4,0,1,5,TRAVEL,0
14440.06,2,0,1,3,GROCERY,0
6651.31,2,0,0,1,OTHER,0
1808.09,1,0,0,3,SHOPPING,0
16701.62,2,0,0,2,GROCERY,0
11019.16,3,0,0,7,GROCERY,0
22197.11,2,0,0,5,FOOD,0
11014.65,1,0,0,1,OTHER,0
28676.55,1,0,0,6,GROCERY,0
12041.31,4,0,1,7,GAMING,0
12346.72,2,0,1,3,SHOPPING,0
31391.38,1,0,0,6,GAMING,0
7749.71,4,0,0,4,CRYPTO,0
2158.32,1,0,0,3,OTHER,0
438.08,2,0,0,3,GROCERY,0
21105.86,3,0,0,4,GAMING,0
14525.98,3,0,0,4,GROCERY,0
18264.98,2,0,0,6,FOOD,0
3592.22,2,0,0,4,TRAVEL,0
2199.19,3,0,0,4,SHOPPING,0
219.77,4,0,1,6,TRAVEL,0
6475.31,5,0,0,6,OTHER,0
13370.96,2,0,0,6,GAMING,0
7469.73,2,0,0,4,SHOPPING,0
8629.79,1,0,0,7,TRAVEL,0
35175.92,3,0,0,4,GROCERY,0
6421.54,2,0,0,3,SHOPPING,0
10822.88,3,0,0,3,TRAVEL,0
22963.08,3,0,0,5,ELECTRONICS,0
7576.2,1,0,0,4,OTHER,0
14596.36,2,1,0,3,FOOD,0
29747.11,1,0,0,3,OTHER,0
44792.86,4,0,0,1,ELECTRONICS,0
2386.23,1,0,0,5,GROCERY,0
39174.94,3,0,0,1,SHOPPING,0
10162.54,2,1,0,2,SHOPPING,0
4481.03,1,0,0,8,SHOPPING,0
9218.8,2,0,1,5,GROCERY,0
58704.8,3,0,0,5,TRAVEL,0
10177.37,1,0,0,3,GROCERY,0
5979.24,6,0,0,1,OTHER,0
15052.29,1,0,0,2,CRYPTO,0
4119.43,2,0,0,6,SHOPPING,1
1183.43,3,0,0,4,GROCERY,0
2069.63,3,0,0,2,TRAVEL,0
2055.28,4,0,0,3,TRAVEL,0
2471.4,2,0,0,6,OTHER,0
2241.9,1,0,0,3,GROCERY,0
15361.26,3,0,0,4,ELECTRONICS,0
3011.2,3,0,0,4,TRAVEL,0
6362.09,5,0,0,7,GROCERY,0
34064.61,2,0,0,3,GROCERY,0
9635.72,1,0,0,5,ELECTRONICS,0
16519.34,1,1,0,5,FOOD,0
2836.93,1,0,0,4,OTHER,0
3203.26,2,0,0,4,OTHER,1
625.91,2,0,0,2,TRAVEL,0
2775.71,4,0,0,3,TRAVEL,0
4898.22,3,0,0,2,GROCERY,0
2922.18,3,0,0,5,OTHER,0
1393.29,2,0,0,3,SHOPPING,0
1928.34,1,0,0,1,SHOPPING,0
9264.44,2,0,0,7,CRYPTO,1
3466.38,2,0,0,2,GROCERY,0
6794.72,3,0,1,5,SHOPPING,0
10500.08,1,0,0,3,TRAVEL,0
17586.86,1,0,0,4,GROCERY,0
601.59,3,0,0,2,GROCERY,0
24097.41,2,0,0,7,SHOPPING,0
14828.91,3,0,0,3,SHOPPING,1
1279.43,3,0,0,4,FOOD,0
31022.02,4,1,0,3,OTHER,0
38050.4,3,0,1,5,FOOD,0
945.34,2,1,1,1,SHOPPING,1
4862.65,5,0,0,5,GROCERY,0
24614.03,3,0,0,2,GROCERY,0
20690.36,4,1,0,4,SHOPPING,0
3059.69,2,0,0,1,SHOPPING,0
3523.49,5,1,0,3,GAMING,0
6941.78,3,0,1,5,SHOPPING,0
9939.94,3,1,0,4,FOOD,0
14445.03,3,0,0,1,TRAVEL,0
6904.69,4,0,0,6,SHOPPING,0
9313.37,3,1,0,4,FOOD,0
20643.43,2,0,0,3,OTHER,0
560.59,4,0,0,4,SHOPPING,0
4364.05,3,0,0,7,FOOD,0
18742.38,2,0,0,4,ELECTRONICS,0
33836.5,2,1,0,5,GAMING,0
10751.69,4,0,0,4,GAMING,0
11392.94,1,0,1,3,TRAVEL,0
1700.42,2,0,0,5,SHOPPING,0
8897.15,3,0,0,2,GAMING,0
11409.1,1,0,0,4,ELECTRONICS,0
4165.39,1,0,0,2,TRAVEL,0
4705.12,6,0,0,6,ELECTRONICS,0
7104.97,1,0,0,3,GROCERY,0
304.13,4,1,0,2,GROCERY,0
5830.87,1,0,0,2,OTHER,0
3563.35,1,0,0,8,OTHER,0
5951.24,3,0,0,3,GAMING,0
1913.45,5,0,0,4,SHOPPING,0
33181.2,2,0,0,3,GROCERY,0
13505.98,3,0,0,5,SHOPPING,0
17049.49,4,0,0,2,ELECTRONICS,0
23350.64,1,0,0,1,FOOD,0
10350.55,1,0,0,5,GAMING,0
1363.98,2,0,0,10,ELECTRONICS,0
11553.88,2,0,0,4,TRAVEL,0
13258.85,1,0,0,4,OTHER,0
20523.25,1,1,0,8,OTHER,1
